adjusted_reports,chain_id,dimension,gross_gain_usd,key,loss_usd,net_yield_usd,priced_reports,raw_gross_gain_usd,raw_loss_usd,raw_net_yield_usd,reports,strategy_address,unpriced_reports,vault_address
0,42161,vault,309.4515135584918977845419,42161:0xc0ba9bfED28aB46Da48d2B69316A3838698EF3f5,0,309.4515135584918977845419,95,309.4515135584918977845419,0,309.4515135584918977845419,181,,86,0xc0ba9bfED28aB46Da48d2B69316A3838698EF3f5
0,42161,vault,2640.0366708913493952024823,42161:0x6FAF8b7fFeE3306EfcFc2BA9Fec912b4d49834C1,0.000004997880,2640.0366658934693952024823,164,2640.0366708913493952024823,0.000004997880,2640.0366658934693952024823,164,,0,0x6FAF8b7fFeE3306EfcFc2BA9Fec912b4d49834C1
0,42161,vault,43023.6472262759628867799945,42161:0x9FA306b1F4a6a83FEC98d8eBbaBEDfF78C407f6B,0.0000009999615106177471,43023.6472252760013761622474,611,43023.6472262759628867799945,0.0000009999615106177471,43023.6472252760013761622474,611,,0,0x9FA306b1F4a6a83FEC98d8eBbaBEDfF78C407f6B
0,42161,vault,5698.9564189639753880991008,42161:0xDa3b69a45797DCA697Ff5bB2c10682f14373c063,0,5698.9564189639753880991008,273,5698.9564189639753880991008,0,5698.9564189639753880991008,273,,0,0xDa3b69a45797DCA697Ff5bB2c10682f14373c063
0,42161,vault,76.16026366433750644732073377,42161:0x7DEB119b92b76f78C212bc54FBBb34CEA75f4d4A,0,76.16026366433750644732073377,211,76.16026366433750644732073377,0,76.16026366433750644732073377,211,,0,0x7DEB119b92b76f78C212bc54FBBb34CEA75f4d4A
0,42161,vault,14168.95560859373980154057475,42161:0x252b965400862d94BDa35FeCF7Ee0f204a53Cc36,25254.95633250800403382045576,-11086.00072391426423227988099,937,14168.95560859373980154057475,25254.95633250800403382045576,-11086.00072391426423227988099,937,,0,0x252b965400862d94BDa35FeCF7Ee0f204a53Cc36
0,8453,vault,0.2756781089538773667832,8453:0xd80c675366966Ef42B175125BBf1AcB1DB4151ac,0,0.2756781089538773667832,33,0.2756781089538773667832,0,0.2756781089538773667832,33,,0,0xd80c675366966Ef42B175125BBf1AcB1DB4151ac
0,8453,vault,0.02737016814925320199797221594,8453:0x630dB4ae19219025dF594c943B638B5aCb5e9D18,0,0.02737016814925320199797221594,37,0.02737016814925320199797221594,0,0.02737016814925320199797221594,37,,0,0x630dB4ae19219025dF594c943B638B5aCb5e9D18
0,8453,vault,25343.4710366180436271417062,8453:0xc3BD0A2193c8F027B82ddE3611D18589ef3f62a9,0.0001739519217390185977,25343.4708626661218881231085,547,25343.4710366180436271417062,0.0001739519217390185977,25343.4708626661218881231085,547,,0,0xc3BD0A2193c8F027B82ddE3611D18589ef3f62a9
0,8453,vault,896.4950488361372872917552914,8453:0x4d81C7d534D703E0a0AECaDF668C0E0253E1f1C3,0,896.4950488361372872917552914,370,896.4950488361372872917552914,0,896.4950488361372872917552914,370,,0,0x4d81C7d534D703E0a0AECaDF668C0E0253E1f1C3
0,8453,vault,1.616347878193995717070792455,8453:0x989381F7eFb45F97E46BE9f390a69c5d94bf9e17,0,1.616347878193995717070792455,87,1.616347878193995717070792455,0,1.616347878193995717070792455,87,,0,0x989381F7eFb45F97E46BE9f390a69c5d94bf9e17
0,8453,vault,416.8618747220512186836,8453:0x25f32eC89ce7732A4E9f8F3340a09259F823b7d3,0.278379990,416.5834947320512186836,184,416.8618747220512186836,0.278379990,416.5834947320512186836,184,,0,0x25f32eC89ce7732A4E9f8F3340a09259F823b7d3
0,8453,vault,52532.8320798295176147271238,8453:0xb13CF163d916917d9cD6E836905cA5f12a1dEF4B,0,52532.8320798295176147271238,384,52532.8320798295176147271238,0,52532.8320798295176147271238,384,,0,0xb13CF163d916917d9cD6E836905cA5f12a1dEF4B
2,1,vault,20088507.40344164827300310499,1:0x19D3364A399d251E894aC732651be8B0E4e85001,21576.55748633461065070064150,20066930.84595531366235240435,952,25446873.26422189666925141143,4964264.024983430144013180507,20482609.23923846652523823093,952,,0,0x19D3364A399d251E894aC732651be8B0E4e85001
0,1,vault,48216.20033149877403268983404,1:0x27b7b1ad7288079A66d12350c828D3C00A6F07d7,0,48216.20033149877403268983404,11,48216.20033149877403268983404,0,48216.20033149877403268983404,516,,505,0x27b7b1ad7288079A66d12350c828D3C00A6F07d7
0,1,vault,596.6624479479821825346253931,1:0x23D3D0f1c697247d5e0a9efB37d8b0ED0C464f7f,0,596.6624479479821825346253931,2,596.6624479479821825346253931,0,596.6624479479821825346253931,73,,71,0x23D3D0f1c697247d5e0a9efB37d8b0ED0C464f7f
0,1,vault,12514.36423825081749299127269,1:0x2a38B9B0201Ca39B17B460eD2f11e4929559071E,0,12514.36423825081749299127269,24,12514.36423825081749299127269,0,12514.36423825081749299127269,129,,105,0x2a38B9B0201Ca39B17B460eD2f11e4929559071E
0,1,vault,2859.742366561364634228489152,1:0x30FCf7c6cDfC46eC237783D94Fc78553E79d4E9C,0,2859.742366561364634228489152,14,2859.742366561364634228489152,0,2859.742366561364634228489152,162,,148,0x30FCf7c6cDfC46eC237783D94Fc78553E79d4E9C
0,1,vault,0,1:0x1C6a9783F812b3Af3aBbf7de64c3cD7CC7D1af44,0,0,0,0,0,0,99,,99,0x1C6a9783F812b3Af3aBbf7de64c3cD7CC7D1af44
0,1,vault,323222.9403380467761091792506,1:0x3B96d491f067912D18563d56858Ba7d6EC67a6fa,0,323222.9403380467761091792506,18,323222.9403380467761091792506,0,323222.9403380467761091792506,723,,705,0x3B96d491f067912D18563d56858Ba7d6EC67a6fa
0,1,vault,113.7543534453549332468837266,1:0x39CAF13a104FF567f71fd2A4c68C026FDB6E740B,0,113.7543534453549332468837266,2,113.7543534453549332468837266,0,113.7543534453549332468837266,96,,94,0x39CAF13a104FF567f71fd2A4c68C026FDB6E740B
