chain_id,dimension,gross_gain_usd,key,loss_usd,net_yield_usd,priced_reports,reports,strategy_address,unpriced_reports,vault_address
42161,chain,65917.20770194785687585401494,42161,25254.95633850584554443820286,40662.25136344201133141581208,2291,2377,,86,
8453,chain,79191.57943616104687413003727,8453,0.2785539419217390185977,79191.30088221912513511143957,1642,1642,,0,
1,chain,203300504.5777146672055172765,1,32285254.03344518628366539232,171015250.5442694809218518835,29344,37923,,8579,
747474,chain,3320971.845839756776560802272,747474,20780.03180583956741949879284,3300191.814033917209141303480,1321,1321,,0,
137,chain,347084.0544217055842080586578,137,0.0000019981736393321041,347084.0544197074105687265537,1182,1451,,269,
