adjusted_reports,chain_id,dimension,gross_gain_usd,key,loss_usd,net_yield_usd,priced_reports,raw_gross_gain_usd,raw_loss_usd,raw_net_yield_usd,reports,strategy_address,unpriced_reports,vault_address
0,1,strategy,67574.21554634978132053310094,1:0x2FA2e992BB5C68a8B61cbFa995431AFbD0A4Db11,0,67574.21554634978132053310094,18,67574.21554634978132053310094,0,67574.21554634978132053310094,18,0x2FA2e992BB5C68a8B61cbFa995431AFbD0A4Db11,0,
0,1,strategy,2427.428116246262460089294529,1:0x7A399ddea6EF670a74F2Fbe5a3A66BeA9CF82576,0,2427.428116246262460089294529,6,2427.428116246262460089294529,0,2427.428116246262460089294529,6,0x7A399ddea6EF670a74F2Fbe5a3A66BeA9CF82576,0,
0,1,strategy,0,1:0xE4bF7a8F2a387cF1ad4Bce20DC560623501e0612,0,0,2,0,0,0,2,0xE4bF7a8F2a387cF1ad4Bce20DC560623501e0612,0,
0,1,strategy,116685.5927678639801371406028,1:0xB458c556ded7b59B12f3FEa188B01AD06F30c7f3,0,116685.5927678639801371406028,71,116685.5927678639801371406028,0,116685.5927678639801371406028,71,0xB458c556ded7b59B12f3FEa188B01AD06F30c7f3,0,
0,1,strategy,16425.04026479970508343319008,1:0x478085739EA884F38Add4D36872aCd8333b5D4D6,0,16425.04026479970508343319008,48,16425.04026479970508343319008,0,16425.04026479970508343319008,48,0x478085739EA884F38Add4D36872aCd8333b5D4D6,0,
0,1,strategy,4255.377668416739238145408772,1:0xef0FCad90cDCa97825BAcF8A237b370c19E480d7,0,4255.377668416739238145408772,16,4255.377668416739238145408772,0,4255.377668416739238145408772,16,0xef0FCad90cDCa97825BAcF8A237b370c19E480d7,0,
0,1,strategy,964.8270856556968628438922657,1:0x808e128aFD1CdD640525645fDF999F4F0638346D,0,964.8270856556968628438922657,12,964.8270856556968628438922657,0,964.8270856556968628438922657,12,0x808e128aFD1CdD640525645fDF999F4F0638346D,0,
0,1,strategy,415.5539196833829755016093305,1:0x39e327aC9f875C6685F8a6191688390F48d37274,0,415.5539196833829755016093305,12,415.5539196833829755016093305,0,415.5539196833829755016093305,13,0x39e327aC9f875C6685F8a6191688390F48d37274,1,
0,1,strategy,3585.252916888274018238722653,1:0xc76637800a22778C1BBf4315d0E6b61910B1f5D4,0,3585.252916888274018238722653,16,3585.252916888274018238722653,0,3585.252916888274018238722653,16,0xc76637800a22778C1BBf4315d0E6b61910B1f5D4,0,
0,1,strategy,4178.641698019487178594928225,1:0x73946Af671Fd049d040918C929EC9d806BCa288d,0,4178.641698019487178594928225,14,4178.641698019487178594928225,0,4178.641698019487178594928225,14,0x73946Af671Fd049d040918C929EC9d806BCa288d,0,
0,1,strategy,0,1:0x9e241D9818f918511Cc1214589EEE3AECBb53072,0,0,16,0,0,0,17,0x9e241D9818f918511Cc1214589EEE3AECBb53072,1,
0,1,strategy,4787.296283070461561036453518,1:0x410b1f201942184A2ACd37fab606Bfb44852409C,0,4787.296283070461561036453518,9,4787.296283070461561036453518,0,4787.296283070461561036453518,11,0x410b1f201942184A2ACd37fab606Bfb44852409C,2,
0,1,strategy,8697.185221323821920250355952,1:0xc2bCd0067aEb71f377983242Cc37cAEf62CCBC24,0,8697.185221323821920250355952,22,8697.185221323821920250355952,0,8697.185221323821920250355952,22,0xc2bCd0067aEb71f377983242Cc37cAEf62CCBC24,0,
0,1,strategy,0,1:0x3493C07A475C7298b4D040E52b1e65713BF4dCB9,0,0,3,0,0,0,3,0x3493C07A475C7298b4D040E52b1e65713BF4dCB9,0,
0,1,strategy,9285.233653442115709171959429,1:0x776067440FDc58Ceaca3FB016fEc8c954590FBb7,0,9285.233653442115709171959429,5,9285.233653442115709171959429,0,9285.233653442115709171959429,21,0x776067440FDc58Ceaca3FB016fEc8c954590FBb7,16,
0,1,strategy,0,1:0x11829e810AfCca3e28B0c7d9e560A3f3E1294ba3,0,0,2,0,0,0,2,0x11829e810AfCca3e28B0c7d9e560A3f3E1294ba3,0,
0,1,strategy,0,1:0xDf6f22653920B0a790F9cc59b82255eA358f3D13,0,0,1,0,0,0,1,0xDf6f22653920B0a790F9cc59b82255eA358f3D13,0,
0,1,strategy,0,1:0xD948f7F3a38c924957B9683f1B716e73C62385AC,0,0,5,0,0,0,7,0xD948f7F3a38c924957B9683f1B716e73C62385AC,2,
0,1,strategy,17444.40003166080097720197330,1:0x18AdB09Aa21369D7d7FAE76596e887f9bAEE0ef8,0,17444.40003166080097720197330,23,17444.40003166080097720197330,0,17444.40003166080097720197330,36,0x18AdB09Aa21369D7d7FAE76596e887f9bAEE0ef8,13,
0,1,strategy,1629.793727083249946101796816,1:0x9C924EE29070964CD7Afde32CD6FDcA620511747,0,1629.793727083249946101796816,5,1629.793727083249946101796816,0,1629.793727083249946101796816,7,0x9C924EE29070964CD7Afde32CD6FDcA620511747,2,
0,1,strategy,0,1:0x4A3c772549c653aE4DF9821dAfc347A7b1031825,0,0,3,0,0,0,3,0x4A3c772549c653aE4DF9821dAfc347A7b1031825,0,
0,1,strategy,25381.57027615167601120361065,1:0xeCBD24eA29b5Cf23fBe658dA506589982EF085D4,0,25381.57027615167601120361065,42,25381.57027615167601120361065,0,25381.57027615167601120361065,44,0xeCBD24eA29b5Cf23fBe658dA506589982EF085D4,2,
0,1,strategy,822936.0575065417545527475138,1:0xBdF157c3bad2164Ce6F9dc607fd115374010c5dC,0,822936.0575065417545527475138,54,822936.0575065417545527475138,0,822936.0575065417545527475138,54,0xBdF157c3bad2164Ce6F9dc607fd115374010c5dC,0,
0,1,strategy,67276.94022497953195137039876,1:0x61dA32f660f37f21e5f0314b0A6E4ded62c358D2,0,67276.94022497953195137039876,132,67276.94022497953195137039876,0,67276.94022497953195137039876,132,0x61dA32f660f37f21e5f0314b0A6E4ded62c358D2,0,
0,1,strategy,7867.429369362255904797147869,1:0xa0b931553BB6670E5Bd889cac7691B2B4CCfFff0,0,7867.429369362255904797147869,19,7867.429369362255904797147869,0,7867.429369362255904797147869,21,0xa0b931553BB6670E5Bd889cac7691B2B4CCfFff0,2,
0,1,strategy,44936.92344203454058678850668,1:0xdA00352a66577B2C844678EC78c062a2f68836A5,0,44936.92344203454058678850668,49,44936.92344203454058678850668,0,44936.92344203454058678850668,110,0xdA00352a66577B2C844678EC78c062a2f68836A5,61,
0,1,strategy,140277.1110150028729625833465,1:0xCCB65389cDCf52aB636973a93aA9B518B7f3b933,0,140277.1110150028729625833465,143,140277.1110150028729625833465,0,140277.1110150028729625833465,150,0xCCB65389cDCf52aB636973a93aA9B518B7f3b933,7,
0,1,strategy,45942.19967135755293543791696,1:0x103f3Fb1EC32A85f4692DF1B4B18C428DbAc59da,0,45942.19967135755293543791696,103,45942.19967135755293543791696,0,45942.19967135755293543791696,112,0x103f3Fb1EC32A85f4692DF1B4B18C428DbAc59da,9,
0,1,strategy,7539.704409630465060279799577,1:0x9e5f4954be2471b4cF1F0c0746A933909eA3B0eb,0,7539.704409630465060279799577,34,7539.704409630465060279799577,0,7539.704409630465060279799577,35,0x9e5f4954be2471b4cF1F0c0746A933909eA3B0eb,1,
0,1,strategy,0,1:0x8698fDdfBBf28B43134457A645178c3146C06886,0,0,7,0,0,0,15,0x8698fDdfBBf28B43134457A645178c3146C06886,8,
0,1,strategy,0,1:0xfE2fB92e9b1D913230Dc262Cac8865e92505d79d,0,0,5,0,0,0,15,0xfE2fB92e9b1D913230Dc262Cac8865e92505d79d,10,
0,1,strategy,0,1:0xBf610fC26d57AEA5e86238A89fafC26729FBd6e0,0,0,6,0,0,0,15,0xBf610fC26d57AEA5e86238A89fafC26729FBd6e0,9,
0,1,strategy,0,1:0x300Da03e1344317fF1f54dA60488220C314F8A7a,0,0,0,0,0,0,15,0x300Da03e1344317fF1f54dA60488220C314F8A7a,15,
0,1,strategy,0,1:0xb0FB81367Bc6aae87987ECDa1A696626020D6681,0,0,13,0,0,0,15,0xb0FB81367Bc6aae87987ECDa1A696626020D6681,2,
0,1,strategy,0,1:0x20bA25a33AfF2109C38e8D762578746d93aB1284,0,0,9,0,0,0,15,0x20bA25a33AfF2109C38e8D762578746d93aB1284,6,
0,1,strategy,320.1404895685117144728619491,1:0x9c17002B2C4c997BA98Bb5083eb24e180519594F,0,320.1404895685117144728619491,13,320.1404895685117144728619491,0,320.1404895685117144728619491,15,0x9c17002B2C4c997BA98Bb5083eb24e180519594F,2,
0,1,strategy,0,1:0x53081fd2b2eC6CC3b4968e91600bAa21c4D2D1CC,0,0,15,0,0,0,15,0x53081fd2b2eC6CC3b4968e91600bAa21c4D2D1CC,0,
0,1,strategy,1175.361134295785385722182583,1:0x7b5Ec24b4708A2A0C2f3a4ae77bb89494679788d,0,1175.361134295785385722182583,29,1175.361134295785385722182583,0,1175.361134295785385722182583,31,0x7b5Ec24b4708A2A0C2f3a4ae77bb89494679788d,2,
0,1,strategy,154008.2369853424092332398382,1:0x059B1507B22267fc1CdA8B6d2fBf2cAb5D7a1CE5,0,154008.2369853424092332398382,37,154008.2369853424092332398382,0,154008.2369853424092332398382,37,0x059B1507B22267fc1CdA8B6d2fBf2cAb5D7a1CE5,0,
0,1,strategy,4794261.450240763712906789053,1:0xe3974E44bc08f435da2c6DB7D01e1758496dA119,0,4794261.450240763712906789053,728,4794261.450240763712906789053,0,4794261.450240763712906789053,728,0xe3974E44bc08f435da2c6DB7D01e1758496dA119,0,
0,1,strategy,289101.9062035529312149990980,1:0x9b778FbBB2E1E7cBcB1eCa66AB86ae8895096fC3,0,289101.9062035529312149990980,494,289101.9062035529312149990980,0,289101.9062035529312149990980,541,0x9b778FbBB2E1E7cBcB1eCa66AB86ae8895096fC3,47,
0,1,strategy,733053.8052149255659865157849,1:0x7C0bbcf8ecF27f362b1Bd82144aE3a5B7eECDa97,0,733053.8052149255659865157849,555,733053.8052149255659865157849,0,733053.8052149255659865157849,555,0x7C0bbcf8ecF27f362b1Bd82144aE3a5B7eECDa97,0,
0,1,strategy,169758.2212279308279941763548,1:0x9dA375Aea0F4C70EaEf72863C900264d22995b30,0,169758.2212279308279941763548,56,169758.2212279308279941763548,0,169758.2212279308279941763548,56,0x9dA375Aea0F4C70EaEf72863C900264d22995b30,0,
0,1,strategy,132397.3841038684484390574202,1:0x04289ce03B2A13bb16417dCC6Bb177a83F922C70,0,132397.3841038684484390574202,63,132397.3841038684484390574202,0,132397.3841038684484390574202,63,0x04289ce03B2A13bb16417dCC6Bb177a83F922C70,0,
0,1,strategy,11193.87497757475358764606485,1:0x4e94120331a98E9Ba4CD90139291a9fC3eE558Ff,0,11193.87497757475358764606485,199,11193.87497757475358764606485,0,11193.87497757475358764606485,207,0x4e94120331a98E9Ba4CD90139291a9fC3eE558Ff,8,
